datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2021-02-01 00:00:00+00:00,1612137600,98435,16.801,24.5,67.4,112.538,111.196
2021-05-01 00:00:00+00:00,1619827200,98435,49.886,14.4,3.5,4.9605,5.932
2021-06-01 00:00:00+00:00,1622505600,98435,58.284,14.8,6.6,10.35,11.336
2021-07-01 00:00:00+00:00,1625097600,98435,28.315,24.8,2.0,2.1095,2.416
2021-08-01 00:00:00+00:00,1627776000,98435,28.221,25.3,3.5,4.584,4.88
2021-09-01 00:00:00+00:00,1630454400,98435,28.959,26.7,1.6,1.298,1.598
2021-10-01 00:00:00+00:00,1633046400,98435,32.901,27.6,2.0,1.9245,2.24
2021-11-01 00:00:00+00:00,1635724800,98435,38.529,27.6,1.6,1.1685,1.477
2021-12-01 00:00:00+00:00,1638316800,98435,40.094,28.0,3.0,3.39,3.95
2022-01-01 00:00:00+00:00,1640995200,98435,44.012,29.1,1.7,1.3904999999999998,1.757
2022-02-01 00:00:00+00:00,1643673600,98435,42.844,27.9,2.0,1.5470000000000002,1.836
2022-03-01 00:00:00+00:00,1646092800,98435,59.655,21.1,2.0,2.165,2.525
2022-04-01 00:00:00+00:00,1648771200,98435,61.119,16.6,3.2,4.140000000000001,4.794
2022-05-01 00:00:00+00:00,1651363200,98435,63.969,12.9,4.0,6.101,7.2
2022-06-01 00:00:00+00:00,1654041600,98435,62.729,9.3,4.0,6.7955000000000005,7.964
2022-07-01 00:00:00+00:00,1656633600,98435,61.649,9.8,3.5,5.834,6.897
2022-08-01 00:00:00+00:00,1659312000,98435,62.398,11.0,3.6,5.7125,6.69
2022-09-01 00:00:00+00:00,1661990400,98435,58.501,13.5,2.6,3.266,3.924
2022-10-01 00:00:00+00:00,1664582400,98435,58.985,17.0,2.3,2.4690000000000003,2.918
2022-11-01 00:00:00+00:00,1667260800,98435,53.795,17.5,2.0,2.136,2.564
2022-12-01 00:00:00+00:00,1669852800,98435,47.946,20.5,2.3,2.503,2.986
2023-01-01 00:00:00+00:00,1672531200,98435,50.068,24.2,3.7,4.673,5.242
2023-02-01 00:00:00+00:00,1675209600,98435,48.425,24.2,3.1,3.8845,4.655
2023-03-01 00:00:00+00:00,1677628800,98435,51.916,21.7,4.2,5.705500000000001,6.065
2023-04-01 00:00:00+00:00,1680307200,98435,59.258,15.9,2.6,3.4565,4.38
2023-05-01 00:00:00+00:00,1682899200,98435,59.386,10.2,5.5,10.415,12.794
2023-06-01 00:00:00+00:00,1685577600,98435,62.274,9.2,5.2,10.053,12.45
2023-07-01 00:00:00+00:00,1688169600,98435,61.512,9.7,5.3,10.2175,12.864
2023-08-01 00:00:00+00:00,1690848000,98435,58.65,11.0,5.2,9.716,12.043
2023-09-01 00:00:00+00:00,1693526400,98435,49.024,14.6,3.8,5.8775,7.152
2023-10-01 00:00:00+00:00,1696118400,98435,44.502,17.1,2.0,2.05,2.622
2023-11-01 00:00:00+00:00,1698796800,98435,50.707,21.6,3.0,3.448,4.056
2023-12-01 00:00:00+00:00,1701388800,98435,46.691,25.0,3.0,3.3835,3.969
2024-01-01 00:00:00+00:00,1704067200,98435,51.254,25.9,3.4,4.058,4.784
2024-02-01 00:00:00+00:00,1706745600,98435,52.336,25.3,3.7,4.5255,4.97
2024-03-01 00:00:00+00:00,1709251200,98435,51.239,22.5,3.9,5.128,5.924
2024-04-01 00:00:00+00:00,1711929600,98435,57.048,16.2,4.6,6.9665,8.062
